src_ip,dst_ip,protocol,length
192.168.43.1,192.168.43.168,UDP,136
192.168.43.1,192.168.43.168,UDP,172
192.168.43.168,3.233.158.25,TCP,66
192.168.43.168,3.233.158.25,TCP,66
3.233.158.25,192.168.43.168,TCP,66
192.168.43.168,3.233.158.25,TCP,54
192.168.43.168,3.233.158.25,TCP,1394
192.168.43.168,3.233.158.25,TCP,484
192.168.43.168,3.233.158.25,TCP,1394
3.233.158.25,192.168.43.168,TCP,66
3.233.158.25,192.168.43.168,TCP,54
192.168.43.168,3.233.158.25,TCP,54
3.233.158.25,192.168.43.168,TCP,54
3.233.158.25,192.168.43.168,TCP,1394
3.233.158.25,192.168.43.168,TCP,1394
3.233.158.25,192.168.43.168,TCP,906
192.168.43.168,3.233.158.25,TCP,54
192.168.43.168,3.233.158.25,TCP,1394
192.168.43.168,3.233.158.25,TCP,484
192.168.43.168,3.233.158.25,TCP,118
192.168.43.168,3.233.158.25,TCP,146
192.168.43.168,3.233.158.25,TCP,702
192.168.43.168,3.233.158.25,TCP,1093
3.233.158.25,192.168.43.168,TCP,66
3.233.158.25,192.168.43.168,TCP,54
3.233.158.25,192.168.43.168,TCP,54
3.233.158.25,192.168.43.168,TCP,54
3.233.158.25,192.168.43.168,TCP,581
3.233.158.25,192.168.43.168,TCP,54
3.233.158.25,192.168.43.168,TCP,1394
3.233.158.25,192.168.43.168,TCP,1394
3.233.158.25,192.168.43.168,TCP,906
3.233.158.25,192.168.43.168,TCP,54
3.233.158.25,192.168.43.168,TCP,364
192.168.43.168,3.233.158.25,TCP,54
192.168.43.168,3.233.158.25,TCP,54
192.168.43.168,3.233.158.25,TCP,118
192.168.43.168,3.233.158.25,TCP,85
3.233.158.25,192.168.43.168,TCP,54
3.233.158.25,192.168.43.168,TCP,54
192.168.43.168,104.86.188.145,TCP,54
192.168.43.168,3.233.158.25,TCP,54
192.168.43.168,3.233.158.25,TCP,54
3.233.158.25,192.168.43.168,TCP,528
